page_id,title,space,author,created_date,last_updated,status,content_summary,labels,linked_jira_issues,gate_review
EVTM-DOC-001,TM-4200 System Architecture Design Document v3.1,EVTM Engineering,Takeshi Yamamoto,2026-01-18,2026-02-12,Published,"Top-level system architecture for the TM-4200 battery thermal management system including refrigerant loop, coolant loop, control strategy, and interface definitions.",specification;design-review,EVTM-1001;EVTM-1008;EVTM-1035,PKD
EVTM-DOC-002,Thermal FEA Analysis Report - 3C Fast Charge Scenarios,EVTM Engineering,Sarah Mitchell,2026-01-13,2026-01-21,Published,"Finite element thermal analysis of cooling plate and TIM stack under 3C fast-charge conditions (25°C, 35°C, 45°C ambient). Includes hot-spot mapping and design margin assessment.",test-report;design-review,EVTM-1004;EVTM-1030,RKD;DR
EVTM-DOC-003,DR-3 Design Review Meeting Notes - 2026-03-15,EVTM Engineering,Kyle Henderson,2026-01-12,2026-02-01,Published,"Minutes from third design review gate. Covers open action items, risk register updates, and component-level design freeze status.",meeting-notes;design-review,EVTM-1002;EVTM-1010;EVTM-1015;EVTM-1022,DR
EVTM-DOC-004,Supplier Quality Audit Report - Cooling Plate (CP-4200-A1),EVTM Engineering,Mika Ito,2026-02-09,2026-02-14,Published,"On-site SQA audit of cooling plate supplier (Tier-2, Kariya plant). Covers process capability, dimensional control, brazing quality, and corrective actions from prior audit.",supplier-quality;risk-assessment,EVTM-1001;EVTM-1002;EVTM-1005,SQA
EVTM-DOC-005,PKD Gate Review Checklist - Phase 2 Exit Criteria,EVTM Engineering,Sarah Mitchell,2026-01-24,2026-02-12,Published,"Product Key Decision gate checklist with 34 exit criteria covering system requirements, feasibility, supplier selection, and initial cost targets.",design-review;specification,EVTM-1001;EVTM-1006;EVTM-1012,PKD
EVTM-DOC-006,Coolant Pump Endurance Test Report - 8000 hr Results,EVTM Engineering,Hiroshi Nakamura,2026-03-10,2026-04-02,Published,"Long-duration endurance test results for coolant pump assembly. Documents flow rate degradation, bearing wear, and seal integrity over 8000-hour accelerated life test.",test-report;supplier-quality,EVTM-1007;EVTM-1008;EVTM-1009,RKD;SQA
EVTM-DOC-007,ECU Firmware Release Notes - v2.3.1 Patch,EVTM Engineering,Akiko Suzuki,2026-02-26,2026-03-04,Under Review,"Release notes for ECU firmware patch addressing watchdog timer reset, CAN frame drop, and OBD-II DTC false trigger issues identified in Sprint 14.",specification;risk-assessment,EVTM-1011;EVTM-1012;EVTM-1014,DR
EVTM-DOC-008,TIM Material Qualification - Henkel vs Shin-Etsu Comparison,EVTM Engineering,Akiko Suzuki,2026-01-30,2026-02-09,Published,"Head-to-head comparison of two TIM candidates across thermal conductivity, long-term aging, compression set, outgassing, and cost. Includes recommendation matrix.",test-report;supplier-quality;design-review,EVTM-1026;EVTM-1027;EVTM-1028;EVTM-1029,PKD;SQA
EVTM-DOC-009,System-Level COP Optimization Study,EVTM Engineering,Hiroshi Nakamura,2026-01-13,2026-02-12,Under Review,"Analysis of system coefficient of performance across operating envelope. Evaluates refrigerant charge, compressor speed mapping, and EXV control tuning for COP improvement.",test-report;design-review,EVTM-1035;EVTM-1036,RKD;DR
EVTM-DOC-010,EMC Pre-Compliance Test Report - CISPR 25 Class 5,EVTM Engineering,Sarah Mitchell,2026-02-27,2026-03-12,Draft,Pre-compliance electromagnetic compatibility test results for ECU and pump driver electronics. Documents conducted and radiated emissions against CISPR 25 Class 5 limits.,test-report;risk-assessment,EVTM-1040,DR;SQA
EVTM-DOC-011,DFMEA - Cooling Plate Assembly Rev C,EVTM Engineering,Sarah Mitchell,2026-01-19,2026-02-07,Published,"Design Failure Mode and Effects Analysis for the cooling plate assembly, covering brazing defects, manifold sealing, flatness deviations, and corrosion risk.",risk-assessment;design-review,EVTM-1001;EVTM-1003,PKD;RKD
EVTM-DOC-012,Sensor Calibration Procedure - NTC Thermistors & Pressure Transducers,EVTM Engineering,Hiroshi Nakamura,2026-01-23,2026-02-15,Published,Calibration procedure and acceptance criteria for all temperature and pressure sensors in the BTMS. Includes traceability requirements and measurement uncertainty budget.,specification;supplier-quality,EVTM-1031;EVTM-1032;EVTM-1033,RKD;SQA
EVTM-DOC-013,Thermal Soak Test Protocol & Results - Full Vehicle,EVTM Engineering,Takeshi Yamamoto,2026-01-25,2026-02-20,Draft,Test protocol and preliminary results for full-vehicle thermal soak test at 45°C ambient. Measures time-to-target for battery pack cooling from soak temperature.,test-report;meeting-notes,EVTM-1038,DR
EVTM-DOC-014,RKD Gate Review Checklist - Requirements Freeze Criteria,EVTM Engineering,Kenji Watanabe,2026-02-23,2026-03-13,Under Review,"Requirements Key Decision gate checklist covering requirements traceability, DVP&R plan, supplier PPAP status, and test readiness for component validation.",design-review;specification,EVTM-1006;EVTM-1016;EVTM-1020,RKD
EVTM-DOC-015,Expansion Valve Cold-Start Performance Analysis,EVTM Engineering,David Chen,2026-02-26,2026-03-01,Published,Analysis of electronic expansion valve behavior during cold-start conditions (−30°C to −10°C ambient soak). Documents stepper motor stall events and superheat control response.,test-report;risk-assessment,EVTM-1017;EVTM-1018;EVTM-1019,RKD;DR
